Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
Email-Eu-Core,ISR,12,100,965.0,0.0,0.0,965.0,965.0,0.0
Email-Eu-Core,ACT,12,100,962.0,2.8284,0.28284,961.4456336,962.5543664,0.5543663999999999
Email-Eu-Core,VMID,16,100,954.5,3.5355,0.35355,953.807042,955.192958,0.692958
Email-Eu-Core,MAT,16,100,913.0,5.6569,0.56569,911.8912476,914.1087524,1.1087524
Email-Eu-Core,FSC-SB,16,100,903.0,7.0711,0.70711,901.6140644,904.3859356,1.3859356
Email-Eu-Core,FSC-N,16,100,951.5,2.1213,0.21213,951.0842252,951.9157748,0.4157748
Email-Eu-Core,IC-u,16,100,610.5,33.234,3.3234000000000004,603.986136,617.013864,6.513864000000001
Email-Eu-Core,LT-u,16,100,861.5,0.7071,0.07071,861.3614084,861.6385916,0.13859159999999998
Email-Eu-Core,UAD,16,100,961.5,0.7071,0.07071,961.3614084,961.6385916,0.13859159999999998
Email-Eu-Core,ISR,16,100,964.5,0.7071,0.07071,964.3614084,964.6385916,0.13859159999999998
Email-Eu-Core,ACT,16,100,961.5,4.9497,0.49497,960.5298588,962.4701412,0.9701412
Email-Eu-Core,VMID,20,100,953.0,1.4142,0.14142,952.7228168,953.2771832,0.27718319999999996
Email-Eu-Core,MAT,20,100,915.0,1.4142,0.14142,914.7228168,915.2771832,0.27718319999999996
Email-Eu-Core,FSC-SB,20,100,907.0,5.6569,0.56569,905.8912476,908.1087524,1.1087524
Email-Eu-Core,FSC-N,20,100,957.5,3.5355,0.35355,956.807042,958.192958,0.692958
Email-Eu-Core,IC-u,20,100,649.0,25.4558,2.54558,644.0106632,653.9893368,4.9893368
Email-Eu-Core,LT-u,20,100,860.5,4.9497,0.49497,859.5298588,861.4701412,0.9701412
Email-Eu-Core,UAD,20,100,957.0,1.4142,0.14142,956.7228168,957.2771832,0.27718319999999996
Email-Eu-Core,ISR,20,100,965.0,0.0,0.0,965.0,965.0,0.0
Email-Eu-Core,ACT,20,100,965.0,0.0,0.0,965.0,965.0,0.0
Bitcoin-OTC,VMID,8,100,4890.5,48.7904,4.87904,4880.9370816,4900.0629184,9.5629184
Bitcoin-OTC,MAT,8,100,3878.5,24.7487,2.47487,3873.6492548,3883.3507452,4.8507452
Bitcoin-OTC,FSC-SB,8,100,3180.5,44.5477,4.45477,3171.7686508,3189.2313492,8.7313492
Bitcoin-OTC,FSC-N,8,100,4861.5,21.9203,2.19203,4857.2036212,4865.7963788,4.296378799999999
Bitcoin-OTC,IC-u,8,100,320.5,57.2756,5.7275599999999995,309.2739824,331.7260176,11.226017599999999
