Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
CollegeMsg,ABBM,8,5,1895.6,1.516575,0.6782329585953487,1894.2706634011531,1896.9293365988467,1.3293365988468835
CollegeMsg,BIADM,8,5,1839.4,5.549775,2.4819348319657792,1834.535407729347,1844.264592270653,4.864592270652928
CollegeMsg,DensityBased,8,5,85.2,10.034939,4.487761150812752,76.40398814440701,93.996011855593,8.796011855592994
CollegeMsg,PAM,8,5,1682.0,7.648529,3.4205261543756977,1675.2957687374237,1688.7042312625763,6.704231262576368
CollegeMsg,ABBM,12,5,1895.6,1.140175,0.5099017612491645,1894.6005925479515,1896.5994074520484,0.9994074520483625
CollegeMsg,BIADM,12,5,1849.0,2.44949,1.0954452300411919,1846.8529273491192,1851.1470726508808,2.147072650880736
CollegeMsg,DensityBased,12,5,85.0,10.488088,4.690415544399962,75.80678553297608,94.19321446702392,9.193214467023926
CollegeMsg,PAM,12,5,1677.2,10.401923,4.651881384943708,1668.0823124855103,1686.3176875144898,9.117687514489669
CollegeMsg,ABBM,16,5,1893.0,3.316625,1.483239791175048,1890.0928500092969,1895.9071499907031,2.9071499907030938
CollegeMsg,BIADM,16,5,1851.6,7.765307,3.4727508636309916,1844.7934083072832,1858.4065916927166,6.806591692716744
CollegeMsg,DensityBased,16,5,88.4,6.580274,2.94278799491489,82.63213552996682,94.1678644700332,5.767864470033184
CollegeMsg,PAM,16,5,1681.6,8.018728,3.5860841802161865,1674.5712750067762,1688.6287249932236,7.028724993223725
CollegeMsg,ABBM,20,5,1895.2,2.949576,1.3190904881603838,1892.6145826432057,1897.7854173567944,2.585417356794352
CollegeMsg,BIADM,20,5,1853.8,4.086563,1.8275665324670944,1850.2179695963644,1857.3820304036356,3.582030403635505
CollegeMsg,DensityBased,20,5,95.4,10.334409,4.621688206257125,86.34149111573603,104.45850888426398,9.058508884263965
CollegeMsg,PAM,20,5,1687.2,13.084342,5.85149563057111,1675.7310685640807,1698.6689314359194,11.468931435919375
Email-Eu-Core,ABBM,8,5,983.6,2.19089,0.9797957942449028,981.67960024328,985.52039975672,1.9203997567200095
Email-Eu-Core,BIADM,8,5,976.2,3.49285,1.562050007042028,973.1383819861977,979.2616180138024,3.061618013802375
Email-Eu-Core,DensityBased,8,5,329.2,7.293833,3.261901280906245,322.80667348942376,335.5933265105762,6.39332651057624
Email-Eu-Core,PAM,8,5,935.2,4.868265,2.1771542944966025,930.9327775827867,939.4672224172134,4.267222417213341
Email-Eu-Core,ABBM,12,5,985.4,0.547723,0.24494917216802342,984.9198996225507,985.8801003774493,0.4801003774493259
Email-Eu-Core,BIADM,12,5,973.2,3.701351,1.6552944889173646,969.955622801722,976.4443771982781,3.2443771982780345
Email-Eu-Core,DensityBased,12,5,313.2,25.733247,11.508257914758506,290.6438144870733,335.75618551292666,22.55618551292667
Email-Eu-Core,PAM,12,5,936.4,5.683309,2.5416530522272707,931.4183600176345,941.3816399823654,4.981639982365451
Email-Eu-Core,ABBM,16,5,984.2,2.04939,0.9165150704816587,982.403630461856,985.9963695381441,1.796369538144051
Email-Eu-Core,BIADM,16,5,976.2,1.30384,0.5830949743566651,975.0571338502609,977.3428661497392,1.1428661497390635
Email-Eu-Core,DensityBased,16,5,318.0,19.557607,8.746427745845146,300.8570016181435,335.1429983818565,17.142998381856486
Email-Eu-Core,PAM,16,5,937.0,9.137833,4.086563151008167,928.990336224024,945.009663775976,8.009663775976007
Email-Eu-Core,ABBM,20,5,984.2,0.447214,0.20000018089791818,983.8079996454401,984.59200035456,0.3920003545599196
Email-Eu-Core,BIADM,20,5,973.8,2.683282,1.2000001909603182,971.4479996257178,976.1520003742821,2.3520003742822237
Email-Eu-Core,DensityBased,20,5,316.2,13.160547,5.885575542616184,304.6642719364723,327.7357280635277,11.53572806352772
Email-Eu-Core,PAM,20,5,938.8,4.086563,1.8275665324670944,935.2179695963645,942.3820304036354,3.582030403635505
Bitcoin-OTC,ABBM,8,5,5554.0,2.54951,1.140175533863098,5551.765255953628,5556.234744046372,2.234744046371672
Bitcoin-OTC,BIADM,8,5,5329.0,16.446884,7.35527012841073,5314.583670548315,5343.416329451685,14.41632945168503
Bitcoin-OTC,DensityBased,8,5,41.8,7.596052,3.3970577265246464,35.14176685601169,48.4582331439883,6.658233143988307
Bitcoin-OTC,PAM,8,5,4405.8,16.11521,7.206941006336877,4391.6743956275795,4419.925604372421,14.125604372420279
Bitcoin-OTC,ABBM,12,5,5554.8,4.32435,1.933908111700243,5551.009540101068,5558.590459898933,3.7904598989324763
Bitcoin-OTC,BIADM,12,5,5348.0,18.261982,8.167006631175513,5331.992667002896,5364.007332997104,16.007332997104005
Bitcoin-OTC,DensityBased,12,5,47.6,5.683309,2.5416530522272707,42.61836001763455,52.58163998236545,4.981639982365451
Bitcoin-OTC,PAM,12,5,4417.8,37.439284,16.743356810584046,4384.983020651255,4450.616979348745,32.81697934874473
Bitcoin-OTC,ABBM,16,5,5558.2,4.816638,2.1540659982017263,5553.978030643524,5562.4219693564755,4.221969356475383
Bitcoin-OTC,BIADM,16,5,5354.2,25.974988,11.61636777654826,5331.431919157965,5376.968080842034,22.76808084203459
Bitcoin-OTC,DensityBased,16,5,49.2,3.898718,1.743559694620405,45.78262299854401,52.617377001456,3.4173770014559937
Bitcoin-OTC,PAM,16,5,4407.4,37.640404,16.833300408910997,4374.406731198534,4440.393268801466,32.993268801465554
Bitcoin-OTC,ABBM,20,5,5554.0,6.78233,3.0331501851672296,5548.0550256370725,5559.9449743629275,5.94497436292777
Bitcoin-OTC,BIADM,20,5,5345.8,14.720734,6.5833123805384774,5332.896707734145,5358.703292265855,12.903292265855416
Bitcoin-OTC,DensityBased,20,5,47.0,4.636809,2.0736440245365646,42.935657711908334,51.064342288091666,4.064342288091667
Bitcoin-OTC,PAM,20,5,4423.0,23.388031,10.459445435174477,4402.499486947058,4443.500513052942,20.500513052941972
