Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
Email-Eu-Core,AtI,16,1000,964.0,1.4142,0.04472093067010122,963.9123469758866,964.0876530241134,0.08765302411339838
Email-Eu-Core,TrCID,16,1000,960.0,0.0,0.0,960.0,960.0,0.0
Email-Eu-Core,TICC,16,1000,947.5,7.7782,0.24596828096321688,947.0179021693122,947.9820978306878,0.48209783068790507
Email-Eu-Core,TBCELF,16,1000,905.0,2.8284,0.08944186134020243,904.8246939517732,905.1753060482268,0.17530604822679677
Email-Eu-Core,WPTM,20,1000,929.0,18.3848,0.5813784232666361,927.8604982903973,930.1395017096027,1.1395017096026068
Email-Eu-Core,STM,20,1000,957.0,0.0,0.0,957.0,957.0,0.0
Email-Eu-Core,AtI,20,1000,963.5,0.7071,0.02236046533505061,963.4561734879433,963.5438265120567,0.04382651205669919
Email-Eu-Core,TrCID,20,1000,959.5,0.7071,0.02236046533505061,959.4561734879433,959.5438265120567,0.04382651205669919
Email-Eu-Core,TICC,20,1000,950.5,0.7071,0.02236046533505061,950.4561734879433,950.5438265120567,0.04382651205669919
Email-Eu-Core,TBCELF,20,1000,909.5,0.7071,0.02236046533505061,909.4561734879433,909.5438265120567,0.04382651205669919
Bitcoin-OTC,WPTM,8,1000,505.0,328.0975,10.37535394607095,484.66430626570093,525.3356937342991,20.335693734299063
Bitcoin-OTC,STM,8,1000,3275.0,84.8528,2.6832811384273545,3269.7407689686825,3280.2592310313175,5.259231031317615
Bitcoin-OTC,AtI,8,1000,3956.5,263.7508,8.340532626915383,3940.152556051246,3972.847443948754,16.34744394875415
Bitcoin-OTC,TrCID,8,1000,3844.0,182.4335,5.76905381516328,3832.69265452228,3855.30734547772,11.307345477720029
Bitcoin-OTC,TICC,8,1000,3376.5,28.9914,0.9167885655700555,3374.7030944114827,3378.2969055885173,1.7969055885173089
Bitcoin-OTC,TBCELF,8,1000,1145.5,221.3244,6.998892057701704,1131.7821715669047,1159.2178284330953,13.71782843309534
Bitcoin-OTC,WPTM,12,1000,355.5,135.0574,4.270889988604249,347.12905562233567,363.87094437766433,8.370944377664328
Bitcoin-OTC,STM,12,1000,2294.0,2425.3763,76.69713290991841,2143.6736194965597,2444.3263805034403,150.32638050344008
