Dataset,Model,Seed_Size,N_MC,Final_Mean_Activation,Final_SD,Final_SEM,CI95_Lower,CI95_Upper,CI95_Margin
CollegeMsg,IC,12,1000,1054.5,15.811388300842191,0.5000000000000093,1053.52,1055.48,0.9800000000000182
CollegeMsg,SCIR,12,1000,17.0,0.0,0.0,17.0,17.0,0.0
CollegeMsg,SEIR,12,1000,1380.0,31.622776601684382,1.0000000000000187,1378.04,1381.96,1.9600000000000364
CollegeMsg,SI,12,1000,1287.0,442.718872423574,14.000000000000028,1259.56,1314.44,27.440000000000055
CollegeMsg,SIR,12,1000,1305.5,395.2847075210474,12.5,1281.0,1330.0,24.5
CollegeMsg,irSIR,12,1000,1667.0,284.6049894151558,9.000000000000052,1649.36,1684.64,17.6400000000001
CollegeMsg,FSIR,16,1000,814.0,31.622776601684382,1.0000000000000187,812.04,815.96,1.9600000000000364
CollegeMsg,IC,16,1000,1092.5,15.811388300842191,0.5000000000000093,1091.52,1093.48,0.9800000000000182
CollegeMsg,SCIR,16,1000,47.5,363.66193091936367,11.500000000000002,24.96,70.04,22.540000000000003
CollegeMsg,SEIR,16,1000,1396.5,1533.7046651816631,48.49999999999997,1301.44,1491.56,95.05999999999995
CollegeMsg,SI,16,1000,1306.0,63.245553203368765,2.0000000000000373,1302.08,1309.92,3.9200000000000728
CollegeMsg,SIR,16,1000,1276.0,347.8505426185208,10.999999999999972,1254.44,1297.56,21.559999999999945
CollegeMsg,irSIR,16,1000,1682.5,490.15303732610056,15.500000000000057,1652.12,1712.88,30.38000000000011
CollegeMsg,FSIR,20,1000,823.5,110.6797181058935,3.500000000000007,816.64,830.36,6.860000000000014
CollegeMsg,IC,20,1000,1111.0,31.622776601684382,1.0000000000000187,1109.04,1112.96,1.9600000000000364
CollegeMsg,SCIR,20,1000,46.0,158.1138830084189,4.999999999999998,36.2,55.8,9.799999999999997
CollegeMsg,SEIR,20,1000,1413.5,1217.4768991648266,38.50000000000002,1338.04,1488.96,75.46000000000004
CollegeMsg,SI,20,1000,1300.5,47.434164902526575,1.500000000000028,1297.56,1303.44,2.9400000000000546
CollegeMsg,SIR,20,1000,1319.5,300.4163777159943,9.499999999999945,1300.88,1338.12,18.61999999999989
CollegeMsg,irSIR,20,1000,1669.5,300.4163777159943,9.499999999999945,1650.88,1688.12,18.61999999999989
Email-Eu-Core,FSIR,8,1000,770.0,411.0960958218896,13.000000000000009,744.52,795.48,25.480000000000018
Email-Eu-Core,IC,8,1000,822.5,15.811388300842191,0.5000000000000093,821.52,823.48,0.9800000000000182
Email-Eu-Core,SCIR,8,1000,59.0,790.5694150420948,25.0,10.0,108.0,49.0
Email-Eu-Core,SEIR,8,1000,901.5,142.3024947075779,4.500000000000026,892.68,910.32,8.82000000000005
Email-Eu-Core,SI,8,1000,872.5,205.5480479109448,6.500000000000004,859.76,885.24,12.740000000000009
Email-Eu-Core,SIR,8,1000,871.0,126.49110640673568,4.000000000000016,863.16,878.84,7.840000000000032
Email-Eu-Core,irSIR,8,1000,953.0,94.8683298050513,2.999999999999998,947.12,958.88,5.8799999999999955
Email-Eu-Core,FSIR,12,1000,771.5,15.811388300842191,0.5000000000000093,770.52,772.48,0.9800000000000182
Email-Eu-Core,IC,12,1000,836.0,94.8683298050513,2.999999999999998,830.12,841.88,5.8799999999999955
Email-Eu-Core,SCIR,12,1000,54.5,142.30249470757707,4.5,45.68,63.32,8.82
Email-Eu-Core,SEIR,12,1000,907.0,94.8683298050513,2.999999999999998,901.12,912.88,5.8799999999999955
Email-Eu-Core,SI,12,1000,872.5,205.5480479109448,6.500000000000004,859.76,885.24,12.740000000000009
Email-Eu-Core,SIR,12,1000,870.5,173.9252713092604,5.499999999999986,859.72,881.28,10.779999999999973
Email-Eu-Core,irSIR,12,1000,946.0,0.0,0.0,946.0,946.0,0.0
Email-Eu-Core,FSIR,16,1000,776.0,0.0,0.0,776.0,776.0,0.0
Email-Eu-Core,IC,16,1000,836.0,221.359436211787,7.000000000000014,822.28,849.72,13.720000000000027
Email-Eu-Core,SCIR,16,1000,79.5,616.644143732834,19.5,41.28,117.72,38.22
Email-Eu-Core,SEIR,16,1000,910.5,15.811388300842191,0.5000000000000093,909.52,911.48,0.9800000000000182
Email-Eu-Core,SI,16,1000,882.0,221.359436211787,7.000000000000014,868.28,895.72,13.720000000000027
Email-Eu-Core,SIR,16,1000,872.5,205.5480479109448,6.500000000000004,859.76,885.24,12.740000000000009
Email-Eu-Core,irSIR,16,1000,948.0,63.245553203366924,1.9999999999999791,944.08,951.92,3.919999999999959
Email-Eu-Core,FSIR,20,1000,780.5,142.3024947075779,4.500000000000026,771.68,789.32,8.82000000000005
Email-Eu-Core,IC,20,1000,844.5,47.434164902526575,1.500000000000028,841.56,847.44,2.9400000000000546
Email-Eu-Core,SCIR,20,1000,95.0,727.3238618387273,23.000000000000004,49.92,140.08,45.080000000000005
Email-Eu-Core,SEIR,20,1000,904.5,47.434164902526575,1.500000000000028,901.56,907.44,2.9400000000000546
Email-Eu-Core,SI,20,1000,872.5,79.05694150420912,2.4999999999999885,867.6,877.4,4.899999999999977
Email-Eu-Core,SIR,20,1000,873.0,94.8683298050513,2.999999999999998,867.12,878.88,5.8799999999999955
Email-Eu-Core,irSIR,20,1000,951.5,47.434164902526575,1.500000000000028,948.56,954.44,2.9400000000000546
